id,content,label
87,"Apa karena tahun segitu jarang yg sekolah dan publik speakingnya bagus ya? Atau karena sekarang ada pergeseran nilai jadi kita liat narasi optimis itu kayak orang nyimeng atau utopis?,0,0",Non Self-Harm
88,"Optimis saja...,0,0",Non Self-Harm
89,"Dari Taman Ramah Anak hingga Sekolah Inklusif, Pilar Optimis Tangsel Kembali Raih Predikat Kota Layak Anak https://beritairn.com/dari-taman-ramah-anak-hingga-sekolah-inklusif-pilar-optimis-tangsel-kembali-raih-predikat-kota-layak-anak/… via """""""",0,0",Non Self-Harm
90,"Astaga hagz halu slash optimis aje dikata katain juga, nanti kalo dibilang toxic malah merasa paling bener padahal mah masih suka nyindir and nyenggol. Kata gw mah touch some grass, inhale some air outside coba deh """""""",1,0,0",Non Self-Harm
91,"Optimis ga min???,0,1",Non Self-Harm
92,"TAKUT BGTTT TAPI OPTIMIS. RABU BESOKK GUYSSS,0,0,0,3",Non Self-Harm
93,"Gak boleh suicidal yo, harus tetap optimis hidup buat dia"""""""",0,0",Non Self-Harm
94,"Tetep optimis podium.,0,0",Non Self-Harm
95,"IYA BENER [optimis] dpet tiket tp gatau standing/seating,0,0,0,16",Non Self-Harm
96,"Rekor ongoing gue adalah mulai april-mei ini dan ak optimis bakal tamatin (hampir) semua soalnya bagus2 ,0,0",Non Self-Harm
97,"nomer 5 wilayah timur optimis liga 1,0,0",Non Self-Harm
98,"kudu optimis, langkahmu ke langkah berani iki tak sayang"""""""",0,0",Non Self-Harm
99,"OMG HAHHA optimis dulu, pesimis belakangan"""""""",0,0",Non Self-Harm
100,"Hari ini boleh kecewa, tapi musim depan harus optimis """""""",0,0",Non Self-Harm
101,"SUMPAHH GATAUU ITUU PERTANDA APAA ATAU HANYA SEBUAH KEBETULAN. tapi Tuhan selalu ngasi tanda tanda yg buat gue pesimis jadi optimis lagiii. salah satu nya ya tadi pagii.. sorry klo kesannya kecintaan bgt, TAPI EMANG IYA """""""",0,0,0",Non Self-Harm
102,"Rakyat akan kembali optimis & mendukung pemerintahan  jika semua menteri2 titipan mulyono di tendang dari kabinet. Dengarkan bro  ,1,0,2,45",Non Self-Harm
103,"Dalam nama Bapa, saya optimis gaga 2026 ke jakarta"""""""",0,0",Non Self-Harm
104,"mungkin rejeki kita yuriku di depan mata #optimis ,0,0,0",Non Self-Harm
105,"Warna bunga daisy yang cocok untukmu tergantung pada kepribadian dan pesan yang ingin disampaikan. Putih melambangkan kemurnian dan kesederhanaan, cocok untuk awal baru. Kuning mencerminkan keceriaan, ideal untuk suasana optimis. Pink menunjukkan kasih sayang dan romansa",Non Self-Harm
106,"optimis podium,0,0",Non Self-Harm
107,"masih ada 2 kemungkinan yam, tergantung kita mau optimis atau pesimis"""""""",1,0,1",Non Self-Harm
108,"Harry aku suka gayamu harus optimis bakalan jadi istri her,0,0",Non Self-Harm
109,"Nggak salah sih, tapi masa ga boleh optimis dikit wkwk"""""""",0,0",Non Self-Harm
110,"tapi aku optimis sieee dapat kerjaan ini tu,0,0",Non Self-Harm
111,"optimis yuk,0,0",Non Self-Harm
112,"Optimis 35.790,0,0",Non Self-Harm
113,"yakin, optimis"""""""",1,0",Non Self-Harm
114,"Optimis bangetnya sih $0.1 per token ya haha,0,0",Non Self-Harm
115,"semua orang punya pacar, mungkin aku akan ketemu pacar itu tahun ini (optimis)"""""""",0,0",Non Self-Harm
116,"Terima kasih sudah berkunjung ke Toko D'Nai Mart-Ruteng-Manggarai-NTT, tetap OPTIMIS sampai KEMENANGAN"""""""",0,8",Non Self-Harm
117,"Kebetulan ni yang nulis temennya temenku, kasihan dia sampai mohon-mohon minta ditakedown karena baru sadar setelah doi nulis, pas mau kerja diusilin pemotor tak dikenal, terus dijailin apalagi lah ada beberapa insiden, entah ada kaitannya apa engga yg jelas aku si optimis ada """""""",2,0",Non Self-Harm
118,"Teman-teman, mari bersama bersikap optimis terhadap masa depan Indonesia#IndonesiaTerang#IndonesiaCerah#LawanHoaks#LawanProvokasi"""""""",0,0,0,9",Non Self-Harm
119,"make tuh orang, tp gapap BAGUS OPTIMIS HAHAHAHA"""""""",0,0",Non Self-Harm
120,"Mari tetap pesimis, kalo optimis perasaan gue nggak enakk"""""""",0,0,3,268",Non Self-Harm
121,"Punya Program Unggulan, Pemkab Ciamis Optimis Kampung KB Magot Desa Pawindan Juara 1 Tingkat Jabar"""""""",0,0",Non Self-Harm
122,"jangan pesimis kakk, ayoo optimis"""""""",1,0",Non Self-Harm
123,"Gw optimis distaym kita podium,0,0",Non Self-Harm
124,"Optimis lekk,1,0",Non Self-Harm
125,"jujur, ditahap bingung banget jadi manusia. Kaya kita ngejar uang, ngejar gelar, ngejar karier, ngejar umur orangtua, ngejar akhirat. terus kaya kadang gua optimis, kadang pesimis. Hidup kok kek banyak banget ya yang dipikirin, kadang mikir kalo gagal gimana",Non Self-Harm
126,"Sempet optimis, namun setelahnya dijadikan samsak#MalaysiaMasters2025"""""""",0,0",Non Self-Harm
127,"Malem ini #riyal #optimis,0,0,0",Non Self-Harm
128,"optimis dulu aja,0,0",Non Self-Harm
129,"betapa nyaman dan indahnya berpikiran optimis dan menyerahkan semuanya ke Tuhan setelah melakukan upaya terbaik yg kita bisa,0,0,3",Non Self-Harm
130,"optimis aja dulu,0,0",Non Self-Harm
131,"Harus optimis ya,0,0",Non Self-Harm
132,"Gw gak tau gw bakal dikasih apa nanti kedepannya, gw hanya bisa optimis sama rencana tuhan, but i can't help i'm hurt when my loved ones didn't believe in me"""""""",0,0",Non Self-Harm
133,"MAIN GAME GINI MANA BISA OPTIMIS ,1,0",Non Self-Harm
134,"KPU Pesawaran Optimis Partisipasi Masyarakat di PSU Sama dengan Pilkada Kemarin  Oleh Lampung Geh,0,0",Non Self-Harm
135,"gaa ges kitaa hruss optimis percyaa dehh cintaa harry kee aqelaa tuhh duhh meluberr dehh(tpi ttp tkut jga?,0,0,0,37",Non Self-Harm
136,"keinget optimis menang lawan skuad pincang aussie eh malah kebantai gara2 petrik ngide maen nyerang emang ajg,0,0",Non Self-Harm
137,"mau lapis 2 atau lapis 3 pun jpn tetaplah jpn, mau optimis bisa seri juga ga berani """""""",1,0",Non Self-Harm
138,"yadungss harus optimis,0,0",Non Self-Harm
139,"optimis sjh ,1,0,0,18",Non Self-Harm
140,"seduh banhet memang tidak boleh terlalu optimis alias aku lah yang selalu meyakini bahwa peach akan disajikan sebagai sosok yang berambut cokelat dan PANJANG :_( apa aku jadi kuda lumping aja mulai sekarang tapi versi makan GUNTING bukan BELING,1,0",Non Self-Harm
141,"Kenapa sih gitu? Kamu tuh harus optimis dan semangat pagi kayak lagi upacara ,1,0",Non Self-Harm
142,"harus optimis bisa dapet kakk, TP KALI INI AKU GAK BISA JAWAB"""""""",1,0",Non Self-Harm
143,"liverpool dan 2 club yang mau mas al itu keknya salah satunya ada barca #optimis,2,0",Non Self-Harm
144,"Harus optimis bisa ikut acara nantiWalau kemungkinan sangat kecil sekali frend,0,0",Non Self-Harm
145,"OPTIMIS MENANG ,0,0",Non Self-Harm
146,"MATCHDAY  Final  Arsenal Women vs Barca Femeni Sabtu, 24 Mei 2025 23.00 WIB Estadio Jose Alvalade DAZNOptimis juara #ViscaBarca """""""",0,0,0,77,['#ViscaBarca'],['@UWCL']",Non Self-Harm
147,"Optimis di show berikutnya ,2,0,0,103",Non Self-Harm
148,"Optimis Stay!,0,0",Non Self-Harm
149,"optimis LOLOS 100% tpi pesimis juga,0,0",Non Self-Harm
150,"optimis,0,1",Non Self-Harm
151,"gak ada yang gak mungkin mint kita harus tetap #optimis,0,0",Non Self-Harm
152,"selama marketing lancar, OPTIMIS HARQEEL MENIKAH"""""""",0,0",Non Self-Harm
153,"Ada"""""""""""""""" itu terlalu optimis."""""""",0,0",Non Self-Harm
154,"gabisa optimis tapi tenang, tapi kepala cenat cenut.. GIMANA YA"""""""",0,0",Non Self-Harm
155,"ngga bisa optimis guys what should i do..,0,0",Non Self-Harm
156,"guys... untuk pejuang utbk & mandiri semangattt yaaa!!! tetap optimis ya guys percaya aja kalian bisa & lolos. Doa terbaik untuk kalian semua yaa  semoga Tuhan memudahkan semua urussn kalian ya guys... aamiin ,0,1,7,350,[],[]",Non Self-Harm
157,"pasti dan optimis buat musim yg lebih baik,0,0",Non Self-Harm
158,"harus optimis yakan,0,0",Non Self-Harm
159,"siap po optimis 1 miliar penonton,0,0",Non Self-Harm
160,"Optimis bgt, countdown jg dah lama sblm i feel good kan """""""",0,0,0",Non Self-Harm
161,"Lando! Optimis gak?,0,0",Non Self-Harm
162,"MASI ADA BEBERAPA BULAN SAYANGGG,, AYOO KITA OPTIMIS DULUUUU"""""""",0,0",Non Self-Harm
163,"makasih ya udh optimis,1,0",Non Self-Harm
164,"Menperin Optimis Indonesia Bakal Jadi Motor Penggerak Industri Berkelanjutan di BRICS,0,0",Non Self-Harm
165,"Optimis dulu aja siapa tau betulan bisa nonton,1,0,0",Non Self-Harm
166,"Tidak bahagia tapi optimis,0,0",Non Self-Harm
167,"Keep optimis. ,0,0",Non Self-Harm
168,"optimis dicall go,0,0",Non Self-Harm
169,"Sebenernya gue punya banyak teori buat hubungan mq yg bikin gue tetep optimis, karena masih banyak bgt yg janggal dlm hubungan mq ini. Bahkan tim netral sekalipun liat hubungan mq, pasti bakal sadar kalo hubungan mq itu emng masih ganjel bgt. Tapi gue keep sendiri aja dh bjir """""""",0,0",Non Self-Harm
170,"2024 mulai realistis dgn kemampuan gw nyari instansi yg menurut gw ga terlalu top tier dan sesuai minat gw. rank tahap 1 gw bagus dan lebih optimis. tahap 2 TBI juga dptnya 557 yg menurut gw udh bgs bgt. udh pede bgt kyknya bisa lanjut tahap 3. eh lagi2 gagal masalah dokumen.,2,0",Non Self-Harm
171,"Buah dari sabar & optimis adalah rejeki yg melimpah.#sisfreya #freyahoki,0,0,0",Non Self-Harm
172,"Pemasaran Lewat Broker dan Bancassurance, OJK Optimis Premi Asuransi Komersial Tumbuh 6 Persen Tahun Ini#Bancassurance #OJK #PremiAsuransi #BrokerAsuransi"""""""",0,0,0,8",Non Self-Harm
173,"Sertu Abraham Optimis, Progres Sasaran TMMD akan Rampung Sesuai Target"""""""",0,0",Non Self-Harm
174,"ak gk ngepull (optimis),0,0",Non Self-Harm
175,"Tetap optimis, GK ada yg GK mungkin..."""""""",0,0",Non Self-Harm
176,"Optimis ucl?,1,0",Non Self-Harm
177,"optimis ketemu pdhl blm tau dapet tiket apa kaga,1,0,0",Non Self-Harm
178,"dapet moon blossom lagi berarti gw bisa dapat raccoon lagi (optimis),1,0",Non Self-Harm
179,"optimis aja! Semua pasti selesai dgn baik,0,0",Non Self-Harm
180,"Gyuvin makasih ya aku jadi optimis kalau ZB1 selamanya,0,0",Non Self-Harm
181,"#sikap #optimis,0,0,0",Non Self-Harm
182,"Melihat Polri begitu profesional menangani kasus ijazah Presiden, jadi makin optimis ke depannya. Semoga konsisten ya, Pak Polisi  mengapresiasi kinerja yang transparan.#PembuktianPenuhProfesionalitasSiapkan Tuntaskan kasus"""""""",0,0",Non Self-Harm
183,"semoga masalah ini segera selesai, tetap kuat & optimis"""""""",0,0",Non Self-Harm
184,"insya Allah bisaaaa, yuk optimis siapa tau habis ini dapet tiketnya"""""""",1,0",Non Self-Harm
185,"asli pak. tetap pesimis pak mana ada club italia di 15 tahun terakhir yang optimis di  liga champions  liga akiaki kalau kata fans EPL mah harus pesimis ya kan ,0,0,0,8",Non Self-Harm
186,"udah gue duga klu bibi bakalan mati tapi masih aja tetep optimis dia bisa naik,0,0",Non Self-Harm
187,"Mau optimis tapi beneran sulit alias gabisa ,0,0",Non Self-Harm
188,"Sekarang rakyat Papua lebih optimis, mereka tahu keamanan udah jadi prioritas TNI-Polri"""""""",0,0",Non Self-Harm
189,"Bisaa. Itu namanya optimis,0,0",Non Self-Harm
190,"Pakar Ekonomi dan Kebijakan Publik Dr Anzori Tawakal optimis program Koperasi Desa Merah Putih yang dibangun Pemerintah Pusat dapat mendorong perekonomian Indonesia tumbuh jauh lebih tinggi.,0,0",Non Self-Harm
191,"Aku baca komentar antara di X atau di ig, aku lupa pokoknya optimis treble bahkan ada yg jelek2in fans rival bahkan ada yg nyenggol fans bayern, makanya aku bilang lucu kalo ga dapet apa"""""""",2,0",Non Self-Harm
192,"Hahahaha, gak ada gunanya kita optimis ya, bro."""""""",0,0",Non Self-Harm
193,"yapp!! kayak optimis prime '-')9,1,0",Non Self-Harm
194,"Orang paling optimis ini, pasti hatinya hati-hati."""""""",0,0",Non Self-Harm
195,"Jangan gitu dong kak, harus tetap optimis sama paketu dan waketu heheh percaya sama mereka aja yahh, jgn sedih2 laa nikmatin momen yg kita percaya aja‍"""""""",1,0,0",Non Self-Harm
196,"Optimis, ays s2 tamunya si temen nya jm"""""""",8,0",Non Self-Harm
197,"Harus optimis. Tp tidak ada salahnya menyiapkan plan b biar gak terlalu kaget. Hidup tetap berjalan apapun yg terjadi,1,0",Non Self-Harm
198,"UN DIA DE PARTIT!!!!  Arsenal vs BarcelonaFinal Liga Champions Sabtu 24 Mei pkl 23.00 WIB Estadio Jose Alvalade  Youtube Channel Optimis gelar keempat???,0,2,6,463,[],['@DAZN']",Non Self-Harm
199,"GAK PERNAH SEYAKIN INI JUJUR CILEN #OPTIMIS,0,0",Non Self-Harm
200,"Tetap optimis!! BIRU UNGUUU JAYAAAAA,0,0",Non Self-Harm
201,"hikmahnya jadi tau celah-celahnya gimana untuk buat SOP kedepannya, yaudalahya. Optimis kalo yang kedua pasti jauh lebih baik dari yang sekarang"""""""",0,0",Non Self-Harm
202,"Persib kalo di Acgl juga optimis sampe final sih,0,0",Non Self-Harm
203,"Lagi berusaha banget buat optimis, padahal ktar ktir h-4 pengumuman"""""""",0,0",Non Self-Harm
204,"terimakasih kepada jian masi optimis aku dibelakangmu,1,0",Non Self-Harm
205,"Ya udah! Aku optimis opp, bisa yuk bisa. Bisa gila  /g"""""""",1,0",Non Self-Harm
206,"Ngeliat berita2 skrg jd makin optimis kalo indo beneran bubar 2030,0,0",Non Self-Harm
207,"Ini yg akan dicatat, kemudian di akhir musim dikoreksi kebenarannya. Semoga gak dipecat, biar membuktikan omongannya, soalnya mendengar saja ikut optimis """""""",1,0",Non Self-Harm
208,"tapi aku optimis menatap masa depan kita ... masa iya nqqak kelihatan  ,0,0",Non Self-Harm
209,"Rusak di segala lini, gimana mau optimis menatap masa depan negara ini?"""""""",1,0",Non Self-Harm
210,"Semoga bermanfaat Bismillahirrahmanirrahim optimis ,0,0,0",Non Self-Harm
211,"Menyala king pange wkwkwk, selalu tetap optimis seperti tifosi ferrari"""""""",0,0",Non Self-Harm
212,"Sekarang ketambahan lagi cocokologi nya, Napoli 2 musim juara Liga & Inter kalah di final UCL, sekarang napoli juara dan inter masuk final UCL, hasilnya??? Damn bahkan secara klenik pun Sdh tdk ada ruang diberikan utk optimis"""""""",2,0",Non Self-Harm
213,"optimis musim depan min,0,0",Non Self-Harm
214,"Semangat Nder, kamu kuat dan luar biasa. Habiskan waktu yang banyak buat refreshing dulu. Gak usah mikirin yang lain."""""""",0,0",Non Self-Harm
215,"kemaren optimis malah gx podium hhhh ,0,0,0,4",Non Self-Harm
216,"optimis soon ,0,0,1",Non Self-Harm
217,"PASTI BISA (optimis dl),0,0",Non Self-Harm
218,"Florian Wirtz telah mencapai kesepakatan pribadi dengan Liverpool dan memilih klub tersebut daripada Bayern Munich. Pembicaraan antara klub sudah berlangsung, dan Liverpool optimis bahwa transfer ini akan segera terealisasi. []"""""""",0,0,1,676",Non Self-Harm
219,"Iyaa yaa haruss bangga siapa tau hari minggu P1 Agak mustahil tapi gpp, yg penting optimis dulu #tellonym"""""""",0,0,1,208",Non Self-Harm
220,"Optimis ndan. Sido mangkat nopo niki njenengan?,1,0",Non Self-Harm
221,"optimis,0,0",Non Self-Harm
222,"sip, semua jelas. Beresin kerjaan sambil optimis sama masa depan"""""""",0,0",Non Self-Harm
223,"Gpp, ak akan optimis, sedikit demi sedikit mengais minat pd ellen ivan"""""""",0,0",Non Self-Harm
224,"Lihat perkembangan food estate di Wanam sekarang bikin makin optimis masa depan pangan di sana,0,0",Non Self-Harm
225,"Tetap optimis sampai menit akhir ,0,0",Non Self-Harm
226,"Habis baca buku ini makin ngerti sih knp mau gonta-ganti rezim apapun ga akan mengubah mayoritas masyarakatnya yg acuh tak acuh, gmn engga tiap ganti rezim selalu memaksa warganya selalu di mode survival terus. Jangankan mau optimis, pesimis pun udh mati rasa duluan."""""""",1,0",Non Self-Harm
227,"gaenak anjir udah dibikin optimis sama orang² yg katanya pada suka seunghwan karena visualnya, tapi pas 3rd eliminated yg awalnya rank 21 malah turun ke 24. awas ya lu anj, gua bakal trus dendam sama lu semua yg fomoin seunghwan."""""""",0,0",Non Self-Harm
228,"Optimis ini mah dapet 100k view gila wkwkwk ,0,0",Non Self-Harm
229,"optimis timnas 3 poin lawan china,0,0",Non Self-Harm
230,"GUE JUGA.... masih optimis ,0,0,0",Non Self-Harm
