id,clean_content,label
43,optimis terus dong,Non Self-Harm
44,anak anak indonesia patut makan baik dukung kayak begini bikin optimis,Non Self-Harm
45,tiba tiba langsung enggak percaya diri padahal optimis lolos,Non Self-Harm
46,optimis kakak,Non Self-Harm
47,wajib selalu optimis pokok rajin minum obat rajin olahraga jamin semua baik,Non Self-Harm
48,gue cuma pull an optimis prefarm skirk sign,Non Self-Harm
49,menko ahy optimis asia tenggara bangun masa depan lanjut,Non Self-Harm
50,menko ahy optimis asia tenggara bangun masa depan lanjut,Non Self-Harm
51,,Non Self-Harm
52,perlu lindung ekstra buat jaksa berani adil tetap optimis,Non Self-Harm
53,optimis tuhan selalu umat,Non Self-Harm
54,after ngelewatin era skripsi jujur kata coba nikmat proses kejar dapat bukan cuma gelar skripsi orang teliti lebih memang sih takut wajar jangan hopeless bismillah kok jangan nethink semangat optimis terus emot ajak tos,Non Self-Harm
55,blio nih kadang kiding bilang optimis monako padahal harus sadar williams bukan ferrari,Non Self-Harm
56,,Non Self-Harm
57,comeback lawan real madrid gugurin lyon agregat yakin jujur tau masuk final optimis sih bakal juara meski lawan tim kelas barcelona femeni,Non Self-Harm
58,optimis bang sama poin jadi amin,Non Self-Harm
59,kemarin aku pakai cc jadi langsung nge debit ambil saldo nya optimis menang soal pas jam undi enggak ada refund jadi beraniin buka email hehe moga jawab penasaran nya,Non Self-Harm
60,optimis depan lebih baik,Non Self-Harm
61,aaa semangat moga langsung mantap btw kayak gue nyerah hukum deh gue cari kerja bidang usaha moga gaji dollar susah tetap optimis,Non Self-Harm
62,doa akhir cuma minta tahun nikah punya rumah isi ketentraman rejeki baik limpah ruah sangat optimis walaupun pandang jodoh,Non Self-Harm
63,jauh gapapa optimis,Non Self-Harm
64,hus bukan biar lebih optimis semangat ngegapai banyak kayak usaha struggle bakal buah wasn t easy but i made something like that,Non Self-Harm
65,pramono optimis jakarta lesat ada urut kota global jakarta tempat urut global city index tahun,Non Self-Harm
66,optimis kapan enggak optimis,Non Self-Harm
67,tetap optimis kalo benar kuak,Non Self-Harm
68,hari lalu pesimis kemarin optimis hari pesimis besok optimis lusa pesimis hari optimis hari lolos,Non Self-Harm
69,pusing banget tetap optimis,Non Self-Harm
70,h banget nih gua takut optimis optimis men,Non Self-Harm
71,optimis ki perlu soale liga ki kadang angel,Non Self-Harm
72,gua lihat cast resplay omong season terus gua jadi optimis,Non Self-Harm
73,prinsip harry penting optimis,Non Self-Harm
74,iya plssssssss tetap optimis bakal lolos jiaa,Non Self-Harm
75,gapapa optimis besok podium,Non Self-Harm
76,gue kata jangan kasih optimis dulu ferrari kannnnn begini kan asa gue kagak enakkk,Non Self-Harm
77,baru tekumpul sama optimis yuk,Non Self-Harm
78,meski barca femeni kuat kuat tetap optimis takluk eropa guns,Non Self-Harm
79,tunggu pap igd nya nyata ada tetap optimis gws,Non Self-Harm
80,neks taim manifes optimis,Non Self-Harm
81,bismillah seng penting yakin banyak riyadhoh langit doa optimis sek dadi takdir e,Non Self-Harm
82,moga kasih restu malam tetap optimis sayaangg,Non Self-Harm
83,makin lama makin optimis buat lebih banyak diam malas tanggap enggak penting,Non Self-Harm
84,tonton film sedih kan tanya optimis,Non Self-Harm
85,pesan kamu zodiak leo luck pesan kamu untung kamu dapat cepat tetap kuat optimis laku usaha selaras energi lepas hasil,Non Self-Harm
86,tadi sore optimis asa jadi pesimis gara gara mau resign plis lah erti banget kok berat cuma apa cepat perintah asu,Non Self-Harm
87,apa tahun segitu jarang sekolah publik speakingnya bagus sekarang geser nilai jadi lihat narasi optimis kayak orang nyimeng utopis,Non Self-Harm
88,optimis,Non Self-Harm
89,taman ramah anak hingga sekolah inklusif pilar optimis tangsel raih predikat kota layak anak via,Non Self-Harm
90,astaga hagz halu slash optimis kata katain kalo bilang toxic malah rasa paling benar padahal mah suka sindir and nyenggol kata gue mah touch some grass inhale some air outside coba deh,Non Self-Harm
91,optimis enggak min,Non Self-Harm
92,takut banget optimis rabu besokk guysss,Non Self-Harm
93,enggak suicidal tetap optimis hidup buat,Non Self-Harm
94,tetap optimis podium,Non Self-Harm
95,iya benar optimis dpet tiket enggak tau standing seating,Non Self-Harm
96,rekor ongoing gue mulai april mei aku optimis bakal tamatin hampir semua soal bagus,Non Self-Harm
97,nomer wilayah timur optimis liga,Non Self-Harm
98,kudu optimis langkah langkah berani iki tak sayang,Non Self-Harm
99,omg hahha optimis dulu pesimis belakang,Non Self-Harm
100,hari kecewa musim depan optimis,Non Self-Harm
101,sumpah gatauu tanda apa buah betul tuhan selalu asih tanda tanda buat gue pesimis jadi optimis salah satu nya tadi pagi sorry kalo kesan cinta banget memang iya,Non Self-Harm
102,rakyat optimis dukung perintah semua menteri titip mulyono tendang kabinet dengar bro,Non Self-Harm
103,nama bapa optimis gaga jakarta,Non Self-Harm
104,mungkin rejeki yuriku depan mata,Non Self-Harm
105,warna bunga daisy cocok untuk gantung pribadi pesan sampai putih melambang murni sederhana cocok awal baru kuning cermin ceria ideal suasana optimis pink tunjuk kasih sayang romansa,Non Self-Harm
106,optimis podium,Non Self-Harm
107,mungkin gantung mau optimis pesimis,Non Self-Harm
108,harry aku suka gaya optimis bakal jadi istri her,Non Self-Harm
109,enggak salah sih masa enggak optimis dikit wkwk,Non Self-Harm
110,aku optimis sieee kerja,Non Self-Harm
111,optimis yuk,Non Self-Harm
112,optimis,Non Self-Harm
113,yakin optimis,Non Self-Harm
114,optimis banget sih per token haha,Non Self-Harm
115,semua orang punya pacar mungkin aku ketemu pacar tahun optimis,Non Self-Harm
116,terima kasih kunjung toko nai mart ruteng manggarai ntt tetap optimis menang,Non Self-Harm
117,betul nih tulis teman temenku kasihan mohon mohon minta ditakedown baru sadar doi tulis pas mau kerja diusilin motor tak kenal terus dijailin lah beberapa insiden entah kait apa enggak jelas aku sih optimis,Non Self-Harm
118,teman teman sama sikap optimis masa depan indonesia,Non Self-Harm
119,pakai tuh orang enggak apa bagus optimis hahahaha,Non Self-Harm
120,tetap pesimis kalo optimis asa gue enggak enakk,Non Self-Harm
121,punya program unggul pemkab ciamis optimis kampung kb magot desa pawindan juara tingkat jabar,Non Self-Harm
122,jangan pesimis kak ayo optimis,Non Self-Harm
123,gue optimis distaym podium,Non Self-Harm
124,optimis lekk,Non Self-Harm
125,jujur tahap bingung banget jadi manusia kayak ngejar uang ngejar gelar ngejar karier ngejar umur orangtua ngejar akhirat terus kayak kadang gua optimis kadang pesimis hidup kok kayak banyak banget pikir kadang mikir kalo gagal bagaimana,Non Self-Harm
126,sempat optimis telah jadi samsak,Non Self-Harm
127,malam,Non Self-Harm
128,optimis dulu,Non Self-Harm
129,betapa nyaman indah pikir optimis serah semua tuhan laku upaya baik,Non Self-Harm
130,optimis dulu,Non Self-Harm
131,optimis,Non Self-Harm
132,gue enggak tau gue bakal kasih apa depan gue optimis sama rencana tuhan but i can t help i sama hurt when my loved ones didn t believe me,Non Self-Harm
133,main game begini mana optimis,Non Self-Harm
134,kpu sawar optimis partisipasi masyarakat psu sama pilkada kemarin lampung gih,Non Self-Harm
135,enggak ges hruss optimis percyaa deh cintaa harry kee aqelaa tuh duh meluberr deh tetap takut,Non Self-Harm
136,ingat optimis menang lawan skuad pincang aussie eh malah bantai gara trik ngide main serang memang ajg,Non Self-Harm
137,mau lapis lapis jpn tetap jpn mau optimis seri enggak berani,Non Self-Harm
138,yadungss optimis,Non Self-Harm
139,optimis sjh,Non Self-Harm
140,seduh banget memang terlalu optimis alias aku lah selalu yakin peach saji sosok rambut cokelat panjang apa aku jadi kuda lumping mulai sekarang versi makan gunting bukan beling,Non Self-Harm
141,sih kamu tuh optimis semangat pagi kayak upacara,Non Self-Harm
142,optimis kak kali aku enggak jawab,Non Self-Harm
143,liverpool club mau mas al kayak salah satu barca,Non Self-Harm
144,optimis ikut acara nantiwalau mungkin sangat kecil sekali frend,Non Self-Harm
145,optimis menang,Non Self-Harm
146,matchday final arsenal women vs barca femeni sabtu mei wib estadio jose alvalade daznoptimis juara,Non Self-Harm
147,optimis show ikut,Non Self-Harm
148,optimis stay,Non Self-Harm
149,optimis lolos pesimis,Non Self-Harm
150,optimis,Non Self-Harm
151,enggak enggak mungkin mint tetap,Non Self-Harm
152,lama marketing lancar optimis harqeel meni,Non Self-Harm
153,terlalu optimis,Non Self-Harm
154,enggak bisa optimis tenang kepala cenat cenut bagaimana,Non Self-Harm
155,enggak optimis guys what should i,Non Self-Harm
156,guys juang utbk mandiri semangat tetap optimis guys percaya kalian lolos doa baik kalian semua moga tuhan mudah semua urussn kalian guys amin,Non Self-Harm
157,optimis buat musim lebih baik,Non Self-Harm
158,optimis yakan,Non Self-Harm
159,siap po optimis miliar tonton,Non Self-Harm
160,optimis banget countdown deh lama i feel good kan,Non Self-Harm
161,lando optimis enggak,Non Self-Harm
162,beberapa bulan sayang ayo optimis duluuuu,Non Self-Harm
163,terima kasih optimis,Non Self-Harm
164,menperin optimis indonesia bakal jadi motor gerak industri lanjut brics,Non Self-Harm
165,optimis dulu siapa tau betul tonton,Non Self-Harm
166,bahagia optimis,Non Self-Harm
167,keep optimis,Non Self-Harm
168,optimis dicall go,Non Self-Harm
169,benar gue punya banyak teori buat hubung mq bikin gue tetap optimis banyak banget janggal hubung mq bahkan tim netral sekalipun lihat hubung mq bakal sadar kalo hubung mq memang ganjel banget gue keep sendiri dah bjir,Non Self-Harm
170,mulai realistis mampu gue cari instansi gue enggak terlalu top tier sesuai minat gue rank tahap gue bagus lebih optimis tahap tbi dapat gue bagus banget percaya diri banget kayak lanjut tahap eh gagal masalah dokumen,Non Self-Harm
171,buah sabar optimis rejeki limpah,Non Self-Harm
172,pasar lewat broker bancassurance ojk optimis premi asuransi komersial tumbuh persen tahun,Non Self-Harm
173,sertu abraham optimis progres sasar tmmd rampung sesuai target,Non Self-Harm
174,aku enggak ngepull optimis,Non Self-Harm
175,tetap optimis enggak enggak mungkin,Non Self-Harm
176,optimis ucl,Non Self-Harm
177,optimis ketemu padahal tau tiket apa kagak,Non Self-Harm
178,moon blossom arti gue raccoon optimis,Non Self-Harm
179,optimis semua selesai baik,Non Self-Harm
180,gyuvin terima kasih aku jadi optimis kalau zb lama,Non Self-Harm
181,,Non Self-Harm
182,lihat polri profesional tangan kasus ijazah presiden jadi makin optimis depan moga konsisten pak polisi apresiasi kerja transparan tuntas kasus,Non Self-Harm
183,moga masalah segera selesai tetap kuat optimis,Non Self-Harm
184,insya allah bisaaaa yuk optimis siapa tau habis tiket,Non Self-Harm
185,asli pak tetap pesimis pak mana club italia tahun akhir optimis liga champions liga akiaki kalau kata fan epl mah pesimis kan,Non Self-Harm
186,gue duga kalau bibi bakal mati tetap optimis naik,Non Self-Harm
187,mau optimis benar sulit alias enggak bisa,Non Self-Harm
188,sekarang rakyat papua lebih optimis tahu aman jadi prioritas tni polri,Non Self-Harm
189,nama optimis,Non Self-Harm
190,pakar ekonomi bijak publik anzori tawakal optimis program koperasi desa merah putih bangun perintah pusat dorong ekonomi indonesia tumbuh jauh lebih tinggi,Non Self-Harm
191,aku baca komentar kali ig aku lupa pokok optimis treble bahkan jelek fan rival bahkan nyenggol fan bayern makanya aku bilang lucu kalo enggak apa,Non Self-Harm
192,hahahaha enggak guna optimis bro,Non Self-Harm
193,kayak optimis prime,Non Self-Harm
194,orang paling optimis hati hati hati,Non Self-Harm
195,jangan dong kak tetap optimis sama paketu waketu heheh percaya sama jangan sedih lah nikmat momen percaya,Non Self-Harm
196,optimis ays si tamu sih teman nya jm,Non Self-Harm
197,optimis salah siap plan b biar enggak terlalu kaget hidup tetap jalan apa jadi,Non Self-Harm
198,un deh partit arsenal vs barcelonafinal liga champions sabtu mei pkl wib estadio jose alvalade youtube channel optimis gelar empat,Non Self-Harm
199,enggak pernah yakin jujur cilen,Non Self-Harm
200,tetap optimis biru unguuu jayaaaaa,Non Self-Harm
201,hikmah jadi tau celah celah bagaimana buat sop depan yaudalahya optimis kalo dua jauh lebih baik sekarang,Non Self-Harm
202,persib kalo acgl optimis final sih,Non Self-Harm
203,usaha banget buat optimis padahal ktar ktir h umum,Non Self-Harm
204,terimakasih jian optimis aku belakang,Non Self-Harm
205,aku optimis opp yuk gila enggak,Non Self-Harm
206,lihat berita sekarang jadi makin optimis kalo indonesia benar bubar,Non Self-Harm
207,catat kemudian akhir musim koreksi benar moga enggak pecat biar bukti omong soal dengar ikut optimis,Non Self-Harm
208,aku optimis tatap masa depan masa iya nqqak lihat,Non Self-Harm
209,rusak segala lini bagaimana mau optimis tatap masa depan negara,Non Self-Harm
210,moga manfaat bismillahirrahmanirrahim optimis,Non Self-Harm
211,nyala king pange wkwkwk selalu tetap optimis tifosi ferrari,Non Self-Harm
212,sekarang tambah cocokologi nya napoli musim juara liga inter kalah final ucl sekarang napoli juara inter masuk final ucl hasil damn bahkan klenik ruang beri optimis,Non Self-Harm
213,optimis musim depan min,Non Self-Harm
214,semangat nder kamu kuat luar biasa habis waktu banyak buat refreshing dulu enggak usah pikir,Non Self-Harm
215,kemarin optimis malah enggak podium hhhh,Non Self-Harm
216,optimis soon,Non Self-Harm
217,optimis dulu,Non Self-Harm
218,florian wirtz capai sepakat pribadi liverpool pilih klub sebut bayern munich bicara klub langsung liverpool optimis transfer segera realisasi,Non Self-Harm
219,iya haruss bangga siapa tau hari minggu p mustahil enggak apa penting optimis dulu,Non Self-Harm
220,optimis ndan sido mangkat nopo nik njenengan,Non Self-Harm
221,optimis,Non Self-Harm
222,sip semua jelas resin kerja optimis sama masa depan,Non Self-Harm
223,enggak apa aku optimis sedikit sedikit kais minat ellen ivan,Non Self-Harm
224,lihat kembang food estate wanam sekarang bikin makin optimis masa depan pangan sana,Non Self-Harm
225,tetap optimis menit akhir,Non Self-Harm
226,habis baca buku makin erti sih mau gonta ganti rezim apa enggak ubah mayoritas masyarakat acuh tak acuh bagaimana enggak tiap ganti rezim selalu paksa warga selalu mode survival terus jangan mau optimis pesimis mati rasa duluan,Non Self-Harm
227,gaenak anjir bikin optimis sama orang kata suka seunghwan visual pas rd eliminated awal rank malah turun awas lu anjing gua bakal terus dendam sama lu semua fomoin seunghwan,Non Self-Harm
228,optimis mah view gila wkwkwk,Non Self-Harm
229,optimis timnas poin lawan china,Non Self-Harm
230,gue optimis,Non Self-Harm
231,heyy no no ayo optimis yakin kalo kamu lolos kamu kan juang jauh,Non Self-Harm
232,optimis,Non Self-Harm
233,gue kemarin optimis sekarang langsung turun allah doain ketrima panggil interview kocak kalo enggak soal nih semua alam sama nice have nya cocok banget sama gue,Non Self-Harm
234,meski negara korupsi ribu triliun negara tetap kayak raya perlu bangsa indonesia satu selalu optimis malaysia judi legal negara maju mana judi legal negara haji umroh maju terus,Non Self-Harm
235,dirjen bea cukai makin optimis tangan djaka budhi utama sinergi aparat tegak hukum bakal jadi andal berantas praktik ilegal,Non Self-Harm
236,djaka budhi utama dirjen bea cukai optimis sinergi aparat tegak hukum makin koordinasi efektif,Non Self-Harm
237,makanya jujur bapak gue optimis sama negara tuh bagaimana gue jauh lebih muda nethink,Non Self-Harm
238,kagak optimis gwnya pesimis,Non Self-Harm
239,benar produktivitas sama kerja barat bahkan biasa kerja situasi hardcore survival mode memang enggak tutup mata kali pikir optimis kok nyata puluh juta lain capable,Non Self-Harm
240,baru mula optimis,Non Self-Harm
241,here we go enggak mau terlalu optimis,Non Self-Harm
242,benar sedikit enggak percaya kalo pilih anna next sonoma aku optimis,Non Self-Harm
243,tiba tiba enggak optimis shey,Non Self-Harm
244,villains ina optimis,Non Self-Harm
245,peluang persen tetap optimis forza inter,Non Self-Harm
246,optimis sih harus guna banyak urai t overload kalo jam sibuk btw t jadi solusi buat orang mau jalan lippo naik transum,Non Self-Harm
247,satu optimis bawa indonesia tuju masa depan terang penuh harap,Non Self-Harm
248,bang jangan terlalu optimis ambil realistis nya minimal seri,Non Self-Harm
249,optimis raga masuk jadwal bulan juni masuk masuk masuk,Non Self-Harm
250,optimis bikin menang,Non Self-Harm
251,sama wujud indonesia cerah penuh harap literasi kunci raih ubah nyata ayo terus maju optimis,Non Self-Harm
252,arema fc jalan laga tonton tetap optimis raih menang kontra semen padang,Non Self-Harm
253,saat banyak orang orang bahkan fan sendiri pesimis sama mhdhh aku orang selalu optimis mhdhh menang,Non Self-Harm
254,omi kata mau langsung nikah enggak usah pacar an lama optimis banget kak gapapa langsung tanya nenek dulu,Non Self-Harm
255,optimis kalau dewa jadi wakil asia harap banyak sayang dewa jadi wakil asia duga kait judi online cuci uang jadi bimbang mau dukung enggak,Non Self-Harm
256,benar lihat bagai berita indonesia belakang tuh bukan marah lebih sedih mau tetap optimis kadang kayak capek sendirikok kayak begini,Non Self-Harm
257,lu optimis untung berapa banyak sih kalo konser kagak niat begini edan bakal banyak enggak laku anjrit minimal mikir,Non Self-Harm
258,cukup optimis wakil kancah asia musim depan tarik lihat kiprah baya malut asean moga jadi tantang serius buat buriram jdt,Non Self-Harm
259,optimis musim depan em,Non Self-Harm
260,tiba optimis bulan depan raga,Non Self-Harm
261,mungkin teaser lanjut optimis,Non Self-Harm
262,optimis beda percaya tetap masuk surga bareng jalan baik masing percaya,Non Self-Harm
263,mjb amin semangaat masuk unpad tahun optimis lulus pil,Non Self-Harm
264,jujur kalo punye anak kuliah aku ndabolehin pacar jangan nak fokus kamu ajar ambisius optimis,Non Self-Harm
265,memang kalo senang awal tuh siap sedih akhir moga enggak sih optimis happy ending,Non Self-Harm
266,saat coba untung banyak banyak lama banyak gagal sedikit,Non Self-Harm
267,pertama coba asin banget ira salah pesan dua pesan beda cabang optimis salah pesan pas tiga coba beda cabang menu sama pertama failed nyata sama terlalu positive thinking gua skip,Non Self-Harm
268,oke gue optimis akhir dianggurin cium panggung lol jadi mungkin kalo dianggurin begini besok pangku an fanmeet,Non Self-Harm
269,aku optimis menang dulu dikit,Non Self-Harm
270,keren banget suka optimis begini semangat ganteng,Non Self-Harm
271,kalo monaco optimis sih,Non Self-Harm
272,gue tuh sebel banget lihat wapres sok optimis asih mapel ai kurikulum kayak first of all lu tuh idiot second of all lu enggak kuliah ai informatics engineering tau apa lu soal ai third of all gaji guru banyak rendah last but not least tendik ai indonesia dikit,Non Self-Harm
273,sekarang optimis dulu,Non Self-Harm
274,amin jun optimis terima yhh,Non Self-Harm
275,mangkas reklame tak ganggu target pad pekanbaru tetap optimis capai rp triliun jelas,Non Self-Harm
276,kurang kurang mikir jelek kak semangat optimis terima,Non Self-Harm
277,nyata enggak sendiri fufufuf semangat kak kieennn optimis terima,Non Self-Harm
278,semangat kurang kurang pikir jelek optimis terima,Non Self-Harm
279,enggak apa selalu optimis,Non Self-Harm
280,enggak apa by tetap semangat optimis insyaallah benar plihan akhir amin,Non Self-Harm
281,tetap optimis meski sih gerobak jerman enggak upgrade,Non Self-Harm
282,kantung jago kawin optimis tabung buat nikah tetap isi meski calon cari harap sih ketemu gercep bilang i right now is possible soal enggak perlu pikir duit heheh,Non Self-Harm
283,pandang optimis percaya selalu cahaya ujung terowongan,Non Self-Harm
284,ijazah orisinal bro bukti yuk bareng optimis sama depan,Non Self-Harm
285,optimis,Non Self-Harm
286,clear saat optimis hadap masa depan bangun negeri semangat baru,Non Self-Harm
287,optimis jepeh wat beli kambing,Non Self-Harm
288,mangkanya optimis,Non Self-Harm
289,percaya diri,Non Self-Harm
290,kamsahamida admin baik hatiiioptimis juara,Non Self-Harm
291,aaaaaaaaaaaa aku pikir bib maaf jbjb bahasa aaaaaaaak enggak apa apa optimis percaya diri hehe,Non Self-Harm
292,optimis kejar target pasar moga hoshi oppa bahagia selalu,Non Self-Harm
293,harga bitcoin sempat turun picu debat bull market dekat akhir beberapa analis optimis lain lihat tanda tanda bearish mulai dominasi,Non Self-Harm
294,bingung terombang ambing wml gusyy optimis,Non Self-Harm
295,orang optimis wkwkwk,Non Self-Harm
296,optimis kunci,Non Self-Harm
297,gembira sangat optimis,Non Self-Harm
298,finally solved yuk lang depan penuh optimis,Non Self-Harm
299,baru join jadi roblox mania minder banget miskin gapapa optimis jadi miliarder usia muda,Non Self-Harm
300,selesai ayo optimis bangun negeri,Non Self-Harm
301,asli iya maret kemarin kayak yakin banget enggak lolos nyata enggak lolos benar kali aku yakin lolos optimis dulu,Non Self-Harm
302,iyasihhh optimis ubah genre jadi merried couple bukan ofc lagiiskynani friend of royal canin,Non Self-Harm
303,tifosi optimis bela ferrari ingat balap sungguh hari minggu bukan jum at,Non Self-Harm
304,optimis sama diri sendiri pesimis sama acc suka caper doang,Non Self-Harm
305,bingung diam program optimis enggak if condition,Non Self-Harm
306,enggak nikmat banyak lucu luci heartwarmingnya even episode akhir aura optimis my dearest tuh buat masochist,Non Self-Harm
307,nfksnfksnd gapapa bukan denial optimis,Non Self-Harm
308,kalau sama bela semboyan enggak ubah pesimis jangan optimis,Non Self-Harm
309,optimis kak,Non Self-Harm
310,ibarat china badminton mau lapis berapa enggak ngaruh semua jago tetap optimis punya peluang ambil point,Non Self-Harm
311,kalo lawan btr hari pertama playoff kayak optimis onic bakal lanjut next day soal bo kan,Non Self-Harm
312,aku bukan orang optimis aku tengah upaya optimis atas apa jadi hidup aku terkadang kala aku jadi sangat rapuh orang diri selalu usaha semangat suruh bangkit hadap apa depan,Non Self-Harm
313,optimis lolos pill,Non Self-Harm
314,fan mu setan merah inggris fan mil setan merah italy sama selalu optimis meski menang,Non Self-Harm
315,aku optimis apa hasil,Non Self-Harm
316,optimis yakin selalu semangat cuca,Non Self-Harm
317,kaann i harap banget scene lah i optimis kalo sequel only for himitsu i pegang motto nya winston churchill never give up on something that you can t go a day without thinking about,Non Self-Harm
318,aku optimis ending jitd enggak sad ending moga,Non Self-Harm
319,optimis dong ah kak,Non Self-Harm
320,biasa netijing memang suka ngremehin nganggep enteng lawan sok optimis tanding eh gilir kena bantai baru sadar,Non Self-Harm
321,aku syuting teaser series,Non Self-Harm
322,optimis perlu bang jokes deh,Non Self-Harm
323,punya kak beberapa terna kebun alhamdulillah omset lumayan kecil sih konsisten optimis soal bisnis hayday,Non Self-Harm
324,lu tifosi paling optimis se jawa barat,Non Self-Harm
325,sepakat banget tuh butuh semangat optimis semua tetap transparan,Non Self-Harm
326,obrol dm asik nih,Non Self-Harm
327,soal pernah ketemu sama orang biasa pimpin organisasi bahkan ketua bem pas obrol langsung sama orang tuh kayak aduh enggak asik ah ngobrolnya malas ah kalo suruh sama,Non Self-Harm
328,obrol sejajar pengin aku tendang rasa kombinasi lelet sok asik dua,Non Self-Harm
329,jaman dulu orang main internet gratis sms mahal per message kan bayar rp ngisi pulsa ribu obrol bentar habis asik obrol tahan mesti minta diisin pulsa dulu sama orang tua sorry baru balas biasa hari hari kesel banget,Non Self-Harm
330,sakit memang segera geser obrol teman lain enggak tanya konyol ingat reuni penting asik jauh toxic,Non Self-Harm
331,sama asik main hp terus doi ajak obrol gue pay attention telah gilir gue obrol baru kalimat lengket ajatuh jari hp enggak gue lanjut gapeduli doi saat muka lempeng batin teriak assuuuuuuu,Non Self-Harm
332,really happyy obrol sama orang orang kayak aku lebih suka obrol langsung lama super asik,Non Self-Harm
333,limit dm anjir asik obrol,Non Self-Harm
334,nder kamu jadi pacar enggak malu ajak cowok mu jajan mulu mana keluar duit selalu ntu cowok gue kalau ngedate sama cowok jangan jajan kayak minum enggak gegara asik obrol,Non Self-Harm
335,enggak asa asik obrol tau tau jam gin,Non Self-Harm
336,malas banget asik obrol jadi enggak mood,Non Self-Harm
337,beli sate terus langgan asik obrol sama tukang sate tanya sih langgan bikin aku langsung tengok bapake ra sekolah kok anake sekolah bagaimana indonesia mau maju kalo orang pikir kayak begini,Non Self-Harm
338,tuhan obrol sama chatgpt asik kok jurnaling satu sama alam dkk cari hobby baru jangan terlalu sama manusia,Non Self-Harm
339,terkadang gue khayal kak mon obrol nongkrong santai ngalor kidul sama paul asik banget,Non Self-Harm
340,sial enggak pernah sedih gue jujur omong orang obrol sama lu asik sih eh jawab jilat akhir wkwk tadi tahan menang krl anjing susah banget,Non Self-Harm
341,kemarin dua sekarang sendiri cf enak sih enggak sendiri kalo sendiri jadi enggak teman obrol walaupun sat set cari beli ambil terus pulang lihat orang asik ngikut senang jadi lebih lepas becanda sama seller wkwkwk,Non Self-Harm
342,asik banget main indocamp kayak ajak obrol jdnya hari gue enggak sepi,Non Self-Harm
